product_code,product_name
deco_oil_facade,масло для фасада
deco_oil_interrior,масло для интерьера
deco_oil_terrace,масло для террас
hard_plus,масло повышенной прочности
parquet_oil,масло паркетное быстросохнущее
slice_protect,масло для торцов
wood_furniture,масло для мебели и детских игрушек
wood_top,масло для столешниц
